time net_usedMbps avg_cpu dram_usedGB net_allocMbps dram_allocGB
1525217266.6940641 0.0 0.25 0.0 32000 123.48030976
1525217267.6999688 0.0 0.5 0.0 32000 123.48030976
1525217268.7063327 0.0 0.75 0.0 32000 123.48030976
1525217269.7130666 0.0 1.0 0.0 32000 123.48030976
1525217270.7195473 0.0 0.75 0.0 32000 123.48030976
1525217271.7259598 0.0 0.0 0.0 32000 123.48030976
1525217272.7326076 0.0 0.0 0.0 32000 123.48030976
1525217273.7382646 0.0 0.0 0.0 32000 123.48030976
1525217274.7448022 0.0 0.0 0.000131072 32000 123.48030976
1525217275.7504728 0.0 0.75 0.000131072 32000 123.48030976
1525217276.7570884 0.0 0.75 0.000131072 32000 123.48030976
1525217277.7626781 0.0 0.0 0.000131072 32000 123.48030976
1525217278.7684026 0.0 0.0 0.000131072 32000 123.48030976
1525217279.7747643 0.0 0.5 0.000131072 32000 123.48030976
1525217280.780771 0.0 0.5 0.000131072 32000 123.48030976
1525217281.7871332 0.0 0.0 0.000131072 32000 123.48030976
1525217282.793131 0.0 0.25 0.000131072 32000 123.48030976
1525217283.7990367 0.0 0.75 0.076218368 32000 123.48030976
1525217284.8054767 0.0 0.75 0.169869312 32000 123.48030976
1525217285.8118765 1280.0 14.0 0.197525504 32000 123.48030976
1525217286.8177245 1280.0 13.75 0.262930432 32000 123.48030976
1525217287.8240674 560.0 9.25 0.262930432 32000 123.48030976
1525217288.830027 560.0 9.25 0.262930432 32000 123.48030976
1525217289.8359642 0.0 0.0 0.262930432 32000 123.48030976
1525217290.8421888 0.0 0.0 0.262930432 32000 123.48030976
1525217291.848086 0.0 0.0 0.262930432 32000 123.48030976
1525217292.8545096 0.0 0.0 0.26312704 32000 123.48030976
1525217293.860534 0.0 0.0 0.26312704 32000 123.48030976
1525217294.8668914 0.0 0.0 0.26312704 32000 123.48030976
1525217295.873512 80.0 0.25 0.26312704 32000 123.48030976
1525217296.879965 80.0 0.25 0.26312704 32000 123.48030976
1525217297.8861842 160.0 0.5 0.26312704 32000 123.48030976
1525217298.8921041 160.0 0.5 0.26312704 32000 123.48030976
1525217299.8987243 240.0 0.25 0.26312704 32000 123.48030976
1525217300.90469 240.0 0.25 0.26312704 32000 123.48030976
1525217301.9107552 320.0 1.25 0.26312704 32000 123.48030976
1525217302.9170074 320.0 1.25 0.3260416 32000 123.48030976
1525217303.923216 880.0 4.5 0.414908416 32000 123.48030976
1525217304.9294622 880.0 4.5 0.677117952 32000 123.48030976
1525217305.9363406 3440.0 12.5 1.371602944 32000 123.48030976
1525217306.942819 3440.0 12.75 2.042691584 32000 123.48030976
1525217307.949073 12320.0 18.25 3.02055424 32000 123.48030976
1525217308.9560034 12320.0 18.0 3.834707968 32000 123.48030976
1525217309.96233 14720.0 20.75 4.7644672 32000 123.48030976
1525217310.9690287 14720.0 20.75 6.041174016 32000 123.48030976
1525217311.9750235 19600.0 40.5 7.20371712 32000 123.48030976
1525217312.9810836 19600.0 40.5 8.296267776 32000 123.48030976
1525217313.986697 18880.0 40.75 9.403170816 32000 123.48030976
1525217314.993506 18560.0 43.25 10.422124544 32000 123.48030976
1525217316.0004797 18080.0 43.75 11.225202688 32000 123.48030976
1525217317.0063882 17920.0 43.0 12.201951232 32000 123.48030976
1525217318.013662 15840.0 43.0 12.962234368 32000 123.48030976
1525217319.0204184 14960.0 46.0 13.660848128 32000 123.48030976
1525217320.0259707 12960.0 45.75 14.49918464 32000 123.48030976
1525217321.031875 12160.0 45.25 15.188754432 32000 123.48030976
1525217322.0374742 12640.0 39.25 16.087842816 32000 123.48030976
1525217323.0441918 12880.0 34.75 16.80900096 32000 123.48030976
1525217324.0501506 14240.0 40.75 17.352491008 32000 123.48030976
1525217325.0561128 14960.0 40.75 17.74354432 32000 123.48030976
1525217326.0619907 19680.0 40.5 18.027839488 32000 123.48030976
1525217327.0683777 21600.0 36.75 18.127323136 32000 123.48030976
1525217328.0746448 22400.0 37.0 18.127781888 32000 123.48030976
1525217329.1038196 22480.0 29.75 18.127978496 32000 123.48030976
1525217330.1098166 15360.0 12.75 18.127978496 32000 123.48030976
1525217331.1160586 12160.0 9.5 18.128371712 32000 123.48030976
1525217332.121711 6640.0 3.5 18.128764928 32000 123.48030976
1525217333.1283956 4320.0 2.75 18.128961536 32000 123.48030976
1525217334.1347122 1360.0 1.75 18.129158144 32000 123.48030976
1525217335.141578 480.0 1.0 18.129747968 32000 123.48030976
1525217336.1488361 400.0 0.5 18.129944576 32000 123.48030976
1525217337.1549716 320.0 0.75 18.1305344 32000 123.48030976
1525217338.1625142 4240.0 8.0 18.131124224 32000 123.48030976
1525217339.1692834 6240.0 15.5 18.131910656 32000 123.48030976
1525217340.1746683 9440.0 18.5 18.13250048 32000 123.48030976
1525217341.1807122 10080.0 12.25 18.134269952 32000 123.48030976
1525217342.1870987 10080.0 12.25 18.136039424 32000 123.48030976
1525217343.1940072 3840.0 4.5 18.139447296 32000 123.48030976
1525217344.200361 3840.0 4.5 18.14134784 32000 123.48030976
1525217345.2071068 1280.0 1.25 18.14331392 32000 123.48030976
1525217346.2134225 1280.0 1.25 18.146852864 32000 123.48030976
1525217347.220095 1040.0 1.25 18.149998592 32000 123.48030976
1525217348.2263653 1040.0 1.25 18.152423424 32000 123.48030976
1525217349.2328017 1040.0 2.0 18.153930752 32000 123.48030976
1525217350.2400644 1040.0 2.0 18.156552192 32000 123.48030976
1525217351.2461095 1200.0 2.5 18.158125056 32000 123.48030976
1525217352.2523568 1200.0 2.5 18.160418816 32000 123.48030976
1525217353.2585747 0.0 0.25 18.161205248 32000 123.48030976
1525217354.2649276 0.0 0.25 18.16199168 32000 123.48030976
